date,area,cases
2020-11-09,Alameda,230
2020-11-10,Alameda,246
2020-11-11,Alameda,230
2020-11-12,Alameda,244
2020-11-13,Alameda,267
2020-11-14,Alameda,216
2020-11-15,Alameda,267
2020-11-16,Alameda,317
2020-11-17,Alameda,347
2020-11-18,Alameda,327
2020-11-19,Alameda,264
2020-11-20,Alameda,346
2020-11-21,Alameda,214
2020-11-22,Alameda,187
2020-11-23,Alameda,438
2020-11-24,Alameda,417
2020-11-25,Alameda,476
2020-11-26,Alameda,215
2020-11-27,Alameda,415
2020-11-28,Alameda,444
2020-11-29,Alameda,310
2020-11-30,Alameda,789
2020-12-01,Alameda,820
2020-12-02,Alameda,692
2020-12-03,Alameda,629
2020-12-04,Alameda,768
2020-12-05,Alameda,550
2020-12-06,Alameda,358
2020-12-07,Alameda,994
2020-12-08,Alameda,865
2020-12-09,Alameda,900
2020-12-10,Alameda,835
2020-12-11,Alameda,771
2020-12-12,Alameda,567
2020-12-13,Alameda,443
2020-12-14,Alameda,1201
2020-12-15,Alameda,899
2020-12-16,Alameda,857
2020-12-17,Alameda,856
2020-12-18,Alameda,805
2020-12-19,Alameda,535
2020-12-20,Alameda,448
2020-12-21,Alameda,884
2020-12-22,Alameda,901
2020-12-23,Alameda,885
2020-12-24,Alameda,578
2020-12-25,Alameda,356
2020-12-26,Alameda,571
2020-12-27,Alameda,624
2020-12-28,Alameda,1241
2020-12-29,Alameda,1043
2020-12-30,Alameda,1070
2020-12-31,Alameda,781
2021-01-01,Alameda,549
2021-01-02,Alameda,648
2021-01-03,Alameda,622
2021-01-04,Alameda,1248
2021-01-05,Alameda,1221
2021-01-06,Alameda,1117
2021-01-07,Alameda,854
2021-01-08,Alameda,861
2021-01-09,Alameda,562
2021-01-10,Alameda,544
2021-01-11,Alameda,979
2021-01-12,Alameda,852
2021-01-13,Alameda,825
2021-01-14,Alameda,750
2021-01-15,Alameda,627
2021-01-16,Alameda,428
2021-01-17,Alameda,322
2021-01-18,Alameda,564
2021-01-19,Alameda,632
2021-01-20,Alameda,641
2021-01-21,Alameda,473
2021-01-22,Alameda,434
2021-01-23,Alameda,318
2021-01-24,Alameda,248
2021-01-25,Alameda,502
2021-01-26,Alameda,425
2021-01-27,Alameda,376
2021-01-28,Alameda,419
2021-01-29,Alameda,423
2021-01-30,Alameda,267
2021-01-31,Alameda,203
2021-02-01,Alameda,425
2021-02-02,Alameda,356
